193,GUJARAT,PORBANDAR,SADIYA VRAJALAL PABABHAI,BAHUJAN SAMAJ PARTY,12180
194,GUJARAT,PORBANDAR,MANSUKH SUNDARAJI DHOKAI,AAM AADMI PARTY,7939
195,GUJARAT,PORBANDAR,VAKIL VINZUDA RANJITBHAI NARANBHAI,INDEPENDENT,4475
196,GUJARAT,PORBANDAR,IRFANSHAH HABIBSHAH SUHARAVARDI,SAMAJWADI PARTY,3825
197,GUJARAT,PORBANDAR,RATHOD CHANDULAL MOHANLAL,INDEPENDENT,3009
198,GUJARAT,PORBANDAR,PATEL BUTANI RAJESHBHAI MAGANBHAI,INDEPENDENT,2868
199,GUJARAT,PORBANDAR,KHUNTI BHARATBHAI MALDEBHAI,INDEPENDENT,2205
200,GUJARAT,PORBANDAR,TUKADIA G.R.,INDEPENDENT,1704
201,GUJARAT,PORBANDAR,AGHERA DHIRAJLAL BHURABHAI,INDEPENDENT,1671
202,GUJARAT,PORBANDAR,UNADAKAT PRAKASH VALLABHADAS,INDEPENDENT,1618
203,GUJARAT,PORBANDAR,KHOKHANI LALITABEN MANSUKHBHAI,INDEPENDENT,1569
204,GUJARAT,PORBANDAR,JOSHI HARISH LILADHAR,INDEPENDENT,1024
205,GUJARAT,PORBANDAR,NONE OF THE ABOVE,NONE OF THE ABOVE,16443
206,GUJARAT,JAMNAGAR,POONAMBEN HEMATBHAI MAADAM,BHARATIYA JANATA PARTY,484412
207,GUJARAT,JAMNAGAR,AHIR VIKRAMBHAI ARJANBHAI MADAM,INDIAN NATIONAL CONGRESS,309123
208,GUJARAT,JAMNAGAR,MAMAD HAJI BOLIM,INDEPENDENT,8596
209,GUJARAT,JAMNAGAR,SAMA YUSUF,BAHUJAN SAMAJ PARTY,8234
210,GUJARAT,JAMNAGAR,MEMAN RAFIK ABUBAKAR POPATPUTRA,INDEPENDENT,5811
211,GUJARAT,JAMNAGAR,JHALA RAJENDRASINH,AAM AADMI PARTY,4911
212,GUJARAT,JAMNAGAR,VAGHER ALI ISHAK PALANI,INDEPENDENT,3946
213,GUJARAT,JAMNAGAR,BATHWAR NANJIBHAI,INDEPENDENT,3667
214,GUJARAT,JAMNAGAR,NARIYA PRAVINBHAI VALLABHBHAI,INDEPENDENT,1811
215,GUJARAT,JAMNAGAR,PANDYA CHIRAGBHAI HARIOMBHAI,INDEPENDENT,1541
216,GUJARAT,JAMNAGAR,SANDHI MAMADBHAI HAJIBHAI SAFIA,INDEPENDENT,1377
217,GUJARAT,JAMNAGAR,KASAMBHAI,RASHTRIYA KOMI EKTA PARTY,1254
218,GUJARAT,JAMNAGAR,VAGHER JAVIDBHAI OSMANBHAI NOLE,INDEPENDENT,1247
219,GUJARAT,JAMNAGAR,PADHIYAR LALJIBHAI KARABHAI,INDEPENDENT,1188
220,GUJARAT,JAMNAGAR,DHARAVIYA VALLABHBHAI,INDEPENDENT,1043
221,GUJARAT,JAMNAGAR,SAIYAD ABUBAKAR IBRAHIM,SAMAJWADI PARTY,940
222,GUJARAT,JAMNAGAR,SODHA SALIMBHAI NURMAMADBHAI,INDEPENDENT,885
223,GUJARAT,JAMNAGAR,CHANDRAVIJAYSINH TAKHUBHA RANA,INDEPENDENT,876
224,GUJARAT,JAMNAGAR,SACHADA HABIB ISHABHAI,INDEPENDENT,819
225,GUJARAT,JAMNAGAR,VANIYA GANGAJIBHAI,INDEPENDENT,795
226,GUJARAT,JAMNAGAR,DHANJIBHAI LALJIBHAI RANEVADIA,INDEPENDENT,777
227,GUJARAT,JAMNAGAR,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,INDEPENDENT,760
228,GUJARAT,JAMNAGAR,DALIT ASHOK NATHABHAI CHAVDA,INDEPENDENT,744
229,GUJARAT,JAMNAGAR,DALIT JITESH BABUBHAI RATHORE,INDEPENDENT,706
230,GUJARAT,JAMNAGAR,SUTHAR HANSABEN HARSUKHBHAI GORECHA,INDEPENDENT,592
231,GUJARAT,JAMNAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,6588
232,GUJARAT,JUNAGADH,CHUDASAMA RAJESHBHAI NARANBHAI,BHARATIYA JANATA PARTY,513179
233,GUJARAT,JUNAGADH,PUNJABHAI BHIMABHAI VANSH,INDIAN NATIONAL CONGRESS,377347
234,GUJARAT,JUNAGADH,ATUL GOVINDBHAI SHEKHADA,AAM AADMI PARTY,16674
235,GUJARAT,JUNAGADH,HARILAL RANCHHODBHAI CHAUHAN,INDEPENDENT,7574
236,GUJARAT,JUNAGADH,SAIYED ALTAF HUSAIN ABDULLAH MIYAN,INDEPENDENT,2717
237,GUJARAT,JUNAGADH,SOLANKI HARIBHAI BOGHABHAI,BAHUJAN MUKTI PARTY,2565
238,GUJARAT,JUNAGADH,KADRI IBRAHIM SAIYED HUSEN,SAMAJWADI PARTY,2409
239,GUJARAT,JUNAGADH,GADHIYA SOYEB HUSHENBHAI,INDEPENDENT,1891
240,GUJARAT,JUNAGADH,NONE OF THE ABOVE,NONE OF THE ABOVE,17022
241,GUJARAT,AMRELI,KACHHADIYA NARANBHAI BHIKHABHAI,BHARATIYA JANATA PARTY,436715
242,GUJARAT,AMRELI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),INDIAN NATIONAL CONGRESS,280483
243,GUJARAT,AMRELI,SUKHADIYA NATHALAL VALLABHBHAI,AAM AADMI PARTY,15520
244,GUJARAT,AMRELI,CHAVADA MANUBHAI PARSHOTTMBHAI,JANATA DAL (UNITED),13803
245,GUJARAT,AMRELI,RAMANI SURESHBHAI DHIRUBHAI,INDEPENDENT,10114
246,GUJARAT,AMRELI,VALODARA VRAJLAL JIVABHAI,INDEPENDENT,8167
247,GUJARAT,AMRELI,DAFADA RAMJIBHAI NANJIBHAI,BAHUJAN SAMAJ PARTY,7822
248,GUJARAT,AMRELI,NATHABHAI DAYABHAI TOTA,INDEPENDENT,4032
249,GUJARAT,AMRELI,MEHULBHAI HIMATBHAI SUKHADIA,INDEPENDENT,3439
250,GUJARAT,AMRELI,USMANBHAI P. MAGHARA,INDEPENDENT,2216
251,GUJARAT,AMRELI,DHIMECHA NARESHBHAI NANJIBHAI,INDEPENDENT,2062
252,GUJARAT,AMRELI,SANGANI VIJAYBHAI DINESHBHAI,YUVA SARKAR,1938
253,GUJARAT,AMRELI,RATHOD JIVANBHAI R.,REPUBLICAN PARTY OF INDIA (A),1809
254,GUJARAT,AMRELI,JADAV MUSTAKBHAI,INDEPENDENT,1553
255,GUJARAT,AMRELI,NONE OF THE ABOVE,NONE OF THE ABOVE,19143
256,GUJARAT,BHAVNAGAR,DR. BHARATIBEN DHIRUBHAI SHIYAL,BHARATIYA JANATA PARTY,549529
257,GUJARAT,BHAVNAGAR,RATHOD PRAVINBHAI JINABHAI,INDIAN NATIONAL CONGRESS,254041
258,GUJARAT,BHAVNAGAR,DR. KANUBHAI V. KALSARIA,AAM AADMI PARTY,49540
